,EventTime,Origin,Destination
6,2017.343879,Northeast,Rio_de_Janeiro
15,2014.267839,Northeast,Rio_de_Janeiro
16,2016.0461990000001,Rio_de_Janeiro,Northeast
17,2015.054079,Rio_de_Janeiro,Southeast
18,2017.8128390000002,Rio_de_Janeiro,Northeast
19,2022.0958890000002,Northeast,Southeast
20,2018.060349,Rio_de_Janeiro,Northeast
21,2021.9999890000001,Northeast,Southeast
26,2022.3177990000002,Northeast,Southeast
33,2015.449309,Rio_de_Janeiro,Northeast
36,2016.049559,Northeast,Rio_de_Janeiro
37,2020.1418290000001,Rio_de_Janeiro,Northeast
38,2017.2209990000001,Rio_de_Janeiro,Northeast
39,2017.646209,Rio_de_Janeiro,Northeast
40,2018.002299,Rio_de_Janeiro,Northeast
41,2022.115059,Northeast,Southeast
42,2016.0515890000001,Northeast,Southeast
44,2021.913509,Northeast,Southeast
45,2021.484909,Northeast,Southeast
49,2022.467039,Northeast,Southeast
51,2022.3369890000001,Northeast,Southeast
54,2019.633829,Northeast,Southeast
55,2020.853249,Northeast,Southeast
56,2023.0712290000001,Southeast,Northeast
