,EventTime,Origin,Destination
14,2000.999976,North,Southeast
15,2009.999976,North,Rio_de_Janeiro
16,2010.794496,North,Southeast
17,2012.999976,Southeast,Midwest
18,2012.999966,Southeast,Midwest
19,2013.283056,Southeast,Rio_de_Janeiro
20,2016.0546160000001,Rio_de_Janeiro,SouthAmerica
21,2016.158446,Rio_de_Janeiro,SouthAmerica
22,2014.1176560000001,Rio_de_Janeiro,Southeast
23,2015.544216,Southeast,SouthAmerica
24,2014.119786,Southeast,SouthAmerica
25,2015.999976,SouthAmerica,Midwest
26,2005.914246,North,Rio_de_Janeiro
27,2010.780806,Rio_de_Janeiro,Southeast
28,2009.999986,Rio_de_Janeiro,Northeast
29,2016.084676,Rio_de_Janeiro,SouthAmerica
30,2012.999976,Rio_de_Janeiro,Southeast
31,2012.117466,Rio_de_Janeiro,Southeast
32,2014.5445260000001,Southeast,Asia
33,2016.152986,Asia,SouthAmerica
34,2011.683556,Rio_de_Janeiro,Midwest
35,2006.580846,Rio_de_Janeiro,Southeast
36,2010.999986,Southeast,Rio_de_Janeiro
37,2014.853136,Southeast,SouthAmerica
38,2010.109566,Rio_de_Janeiro,SouthAmerica
39,2009.7997460000001,Rio_de_Janeiro,Midwest
40,2010.315046,Midwest,SouthAmerica
41,2020.106526,Rio_de_Janeiro,Southeast
42,2012.999976,Rio_de_Janeiro,Southeast
43,2013.031716,Rio_de_Janeiro,Northeast
44,2016.363356,Rio_de_Janeiro,Southeast
45,2013.999976,Rio_de_Janeiro,Northeast
46,2013.8297460000001,Rio_de_Janeiro,SouthAmerica
47,2008.999986,Rio_de_Janeiro,SouthAmerica
48,2012.855156,Rio_de_Janeiro,Southeast
49,2009.190986,Rio_de_Janeiro,Midwest
50,2012.204896,Midwest,Southeast
51,2014.262246,Midwest,Rio_de_Janeiro
52,2019.310706,Rio_de_Janeiro,Southeast
53,2018.5542560000001,Rio_de_Janeiro,Southeast
54,2023.068466,Southeast,Northeast
55,2023.3095660000001,Northeast,Southeast
76,1984.093526,SouthAmerica,Rio_de_Janeiro
77,1990.999986,Rio_de_Janeiro,Midwest
78,1994.553146,Rio_de_Janeiro,Southeast
79,1997.999986,Rio_de_Janeiro,Southeast
80,1998.999986,Rio_de_Janeiro,North
81,1995.999986,Rio_de_Janeiro,North
