,EventTime,Origin,Destination
6,1990.000015,Caribbean,SouthAmerica
7,1997.000015,Caribbean,SouthAmerica
8,1984.076605,Caribbean,SouthAmerica
11,1995.000025,SouthAmerica,Caribbean
12,1989.474185,SouthAmerica,Rio_de_Janeiro
13,1997.000035,Rio_de_Janeiro,Northeast
14,1994.563735,Rio_de_Janeiro,Northeast
15,1996.543025,Rio_de_Janeiro,Northeast
16,2002.872075,Northeast,SouthAmerica
17,1995.585785,Rio_de_Janeiro,Northeast
19,1996.500765,Rio_de_Janeiro,SouthAmerica
20,2001.000035,SouthAmerica,Rio_de_Janeiro
21,2000.000035,Rio_de_Janeiro,Northeast
22,2002.000045,Rio_de_Janeiro,Caribbean
23,2005.000045,Caribbean,SouthAmerica
24,1987.569555,SouthAmerica,Caribbean
25,1997.747955,Caribbean,SouthAmerica
26,1997.297635,Caribbean,SouthAmerica
27,2001.000015,SouthAmerica,Rio_de_Janeiro
29,1996.376745,Caribbean,SouthAmerica
30,1990.876065,Caribbean,SouthAmerica
38,2022.736985,Caribbean,Caribbean
39,2019.000005,Caribbean,Caribbean
40,2019.523295,Caribbean,Caribbean
41,2022.736995,Caribbean,Caribbean
42,2019.000005,Caribbean,Caribbean
43,2019.000005,Caribbean,Caribbean
44,2019.684935,Caribbean,Caribbean
45,2019.736985,Caribbean,Caribbean
57,1999.328775,Caribbean,SouthAmerica
59,2009.706855,Caribbean,Rio_de_Janeiro
60,2002.000005,Caribbean,SouthAmerica
62,2008.459025,Caribbean,Southeast
63,2004.183695,Caribbean,SouthAmerica
65,2003.599845,Caribbean,SouthAmerica
66,2006.747955,SouthAmerica,Caribbean
67,2003.345835,Caribbean,Rio_de_Janeiro
68,2009.000015,Rio_de_Janeiro,Southeast
69,2009.536275,Rio_de_Janeiro,Northeast
70,2010.000015,Rio_de_Janeiro,Northeast
71,2006.000015,Rio_de_Janeiro,SouthAmerica
72,2019.350705,Rio_de_Janeiro,Northeast
73,2010.000015,Rio_de_Janeiro,Northeast
74,2010.230155,Rio_de_Janeiro,Southeast
75,2006.397275,Rio_de_Janeiro,Southeast
76,2013.556675,Southeast,Caribbean
77,2008.448495,Rio_de_Janeiro,Southeast
78,2009.000005,Rio_de_Janeiro,SouthAmerica
