,EventTime,Origin,Destination
9,1991.2844839999998,Caribbean,Rio_de_Janeiro
10,1993.0697839999998,Rio_de_Janeiro,Caribbean
11,1997.2472139999998,Caribbean,Southeast
15,2002.0014339999998,Northeast,Southeast
20,1995.0996239999997,Rio_de_Janeiro,Southeast
23,2003.0014239999998,Southeast,Northeast
24,2004.3640239999997,Southeast,Northeast
27,1999.343524,Southeast,Rio_de_Janeiro
29,2005.0014239999998,Southeast,Northeast
30,2000.990134,Southeast,Rio_de_Janeiro
31,2004.0014239999998,Rio_de_Janeiro,Northeast
32,2004.0014239999998,Rio_de_Janeiro,Northeast
35,2004.0014239999998,Southeast,Northeast
39,2005.0014239999998,Southeast,Northeast
41,2000.7463939999998,Southeast,Northeast
43,2000.5275439999998,Southeast,Northeast
75,2022.963014,Caribbean,Caribbean
76,2022.683564,Caribbean,Caribbean
77,2022.8506839999998,Caribbean,Caribbean
78,2022.593154,Caribbean,Caribbean
79,2022.839724,Caribbean,Caribbean
80,2022.678084,Caribbean,Caribbean
81,2021.8859939999998,Caribbean,Caribbean
82,2021.720674,Caribbean,Caribbean
83,2022.957534,Caribbean,Caribbean
84,2022.7246639999998,Caribbean,Caribbean
85,2022.7849339999998,Caribbean,Caribbean
86,2021.5196539999997,Caribbean,Caribbean
87,2022.5191739999998,Caribbean,Caribbean
88,2023.1931439999998,Caribbean,Southeast
89,2022.4771139999998,Caribbean,Caribbean
90,2022.6616339999998,Caribbean,Caribbean
91,2022.6287539999998,Caribbean,Caribbean
92,2022.5575139999999,Caribbean,Caribbean
93,2022.5712139999998,Caribbean,Caribbean
94,2022.6287439999999,Caribbean,Caribbean
95,2023.028744,Caribbean,Caribbean
97,2022.6561639999998,Caribbean,Caribbean
98,2022.7274039999998,Caribbean,Caribbean
100,2022.930144,Caribbean,Caribbean
101,2022.930144,Caribbean,Caribbean
102,2022.7438439999999,Caribbean,Caribbean
103,2022.9191839999999,Caribbean,Caribbean
105,2022.7000039999998,Caribbean,Caribbean
106,2022.6342539999998,Caribbean,Caribbean
108,2022.7054839999998,Caribbean,Caribbean
109,2022.801374,Caribbean,Caribbean
110,2022.858914,Caribbean,Caribbean
111,2023.001374,Caribbean,Caribbean
112,2022.5958739999999,Caribbean,Caribbean
