date	country	UF	cases	death_DENV2	genomes_DENV2	death_DENV1	genomes_DENV1	death	genomes
04/01/2015	Brazil	BA	290	0	0	0	0	0	0
11/01/2015	Brazil	BA	277	0	0	0	0	0	0
18/01/2015	Brazil	BA	376	0	0	0	0	0	0
25/01/2015	Brazil	BA	505	0	0	0	0	0	0
01/02/2015	Brazil	BA	680	0	0	0	0	0	0
08/02/2015	Brazil	BA	681	0	0	0	0	0	0
15/02/2015	Brazil	BA	928	0	0	0	0	0	0
22/02/2015	Brazil	BA	1415	0	0	0	0	0	0
01/03/2015	Brazil	BA	1925	0	0	0	0	0	0
08/03/2015	Brazil	BA	2513	0	0	0	0	0	0
15/03/2015	Brazil	BA	3553	0	0	0	0	0	0
22/03/2015	Brazil	BA	4305	0	0	0	0	0	0
29/03/2015	Brazil	BA	3781	0	0	0	0	0	0
05/04/2015	Brazil	BA	4018	0	0	0	0	0	0
12/04/2015	Brazil	BA	3637	0	0	0	0	0	0
19/04/2015	Brazil	BA	3175	0	0	0	0	0	0
26/04/2015	Brazil	BA	2861	0	0	0	0	0	0
03/05/2015	Brazil	BA	3352	0	0	0	0	0	0
10/05/2015	Brazil	BA	2953	0	0	0	0	0	0
17/05/2015	Brazil	BA	2649	0	0	0	0	0	0
24/05/2015	Brazil	BA	2663	0	0	0	0	0	0
31/05/2015	Brazil	BA	2140	0	0	0	0	0	0
07/06/2015	Brazil	BA	1836	0	0	0	0	0	0
14/06/2015	Brazil	BA	1588	0	0	0	0	0	0
21/06/2015	Brazil	BA	1125	0	0	0	0	0	0
28/06/2015	Brazil	BA	1334	0	0	0	0	0	0
05/07/2015	Brazil	BA	1675	0	0	0	0	0	0
12/07/2015	Brazil	BA	1761	0	0	0	0	0	0
19/07/2015	Brazil	BA	1423	0	0	0	0	0	0
26/07/2015	Brazil	BA	1314	0	0	0	0	0	0
02/08/2015	Brazil	BA	1098	0	0	0	0	0	0
09/08/2015	Brazil	BA	921	0	0	0	0	0	0
